country,countryname,edate,e101_structure,e102_structure,e103_structure,e104_structure,e105_structure,e106_structure,e107_structure,e108_structure,e109_structure,e110_structure,e201_structure,e202_structure,e203_structure,e204_structure,e301_structure,e302_structure,e303_structure,e304_structure,e305_structure,e401_structure,e402_structure,e403_structure,e404_structure,e405_structure,e406_structure,e407_structure,e408_structure,e409_structure,e410_structure,e411_structure,e412_structure,e413_structure,e414_structure,e415_structure,e416_structure,e501_structure,e502_structure,e503_structure,e504_structure,e505_structure,e506_structure,e507_structure,e601_structure,e602_structure,e603_structure,e604_structure,e605_structure,e606_structure,e607_structure,e608_structure,e701_structure,e702_structure,e703_structure,e704_structure,e705_structure,e706_structure
11,Sweden,1944-09-17,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1948-09-19,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1952-09-21,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1956-09-26,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1958-06-01,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1960-09-18,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1964-09-20,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1968-09-15,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1970-09-20,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1973-09-16,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
11,Sweden,1976-09-19,0,0,-1,1,-1,-1,-1,1,0,-1,1,-1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,1,-1,0,0,0,1,0,1,-1,-1,0,-1,1,1,0,1,0
