country,edate,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706
11,1944-09-17,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1948-09-19,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1952-09-21,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1956-09-26,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1958-06-01,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1960-09-18,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1964-09-20,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1968-09-15,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1970-09-20,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1973-09-16,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1976-09-19,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1979-09-16,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1982-09-19,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1985-09-15,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1988-09-18,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1991-09-15,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
11,1994-09-18,valence,valence,left,right,left,left,left,right,valence,left,right,left,valence,valence,right,right,right,valence,valence,right,right,left,left,valence,valence,left,left,valence,left,valence,left,left,right,valence,valence,left,valence,valence,left,right,left,valence,valence,valence,right,valence,right,left,left,valence,left,right,right,valence,right,valence
